epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,739.543,1.70383,1.63962,0.01658,0.66885,0.60365,0.64881,0.3489,1.06439,0.95553,0.01331,0.000499717,0.000499717,0.000556342
2,1460.1,1.60423,1.43771,0.0152,0.66684,0.60466,0.65132,0.35241,1.055,0.94905,0.01333,0.000496953,0.000496953,0.000496953
3,2192.39,1.59495,1.40957,0.01506,0.65222,0.61548,0.66249,0.36038,1.04681,0.9287,0.0131,0.000487886,0.000487886,0.000487886
4,2927.52,1.58224,1.3854,0.01474,0.69868,0.59991,0.66703,0.36795,1.03896,0.90244,0.01317,0.000473024,0.000473024,0.000473024
5,3664.11,1.57435,1.35278,0.01468,0.70986,0.60364,0.66985,0.36849,1.02849,0.89421,0.0126,0.000452732,0.000452732,0.000452732
6,4353.34,1.5658,1.34047,0.01456,0.69878,0.62927,0.68866,0.38137,1.03185,0.88554,0.01283,0.000427509,0.000427509,0.000427509
7,5039.71,1.56119,1.31981,0.0143,0.71748,0.60992,0.68531,0.3822,1.02253,0.86574,0.01281,0.000397977,0.000397977,0.000397977
8,5765.91,1.53596,1.27889,0.01408,0.71536,0.62588,0.69474,0.39,1.01701,0.86359,0.01229,0.000364863,0.000364863,0.000364863
9,6511.85,1.5199,1.24992,0.01382,0.73171,0.62985,0.70348,0.39325,1.01744,0.84831,0.0126,0.000328982,0.000328982,0.000328982
10,7251.82,1.52066,1.21482,0.01366,0.7073,0.6453,0.70478,0.39193,1.0139,0.84826,0.01247,0.000291218,0.000291218,0.000291218
11,7993.22,1.50574,1.19242,0.01342,0.70193,0.64954,0.70879,0.4018,1.00604,0.82904,0.01218,0.0002525,0.0002525,0.0002525
12,8770.04,1.49715,1.1832,0.01327,0.72389,0.65452,0.71738,0.40429,1.003,0.82417,0.01227,0.000213782,0.000213782,0.000213782
13,9567.82,1.48395,1.1656,0.01311,0.71432,0.65681,0.71744,0.4108,0.9924,0.80962,0.01199,0.000176018,0.000176018,0.000176018
14,10396.8,1.46036,1.14642,0.01285,0.74079,0.64181,0.72215,0.41663,0.98584,0.79551,0.01183,0.000140137,0.000140137,0.000140137
15,11165.1,1.45007,1.12754,0.01256,0.74703,0.64966,0.72146,0.41728,0.98932,0.7914,0.01184,0.000107023,0.000107023,0.000107023
16,11943.9,1.44154,1.0438,0.01281,0.745,0.6475,0.72501,0.41855,0.99125,0.79049,0.01195,7.74911e-05,7.74911e-05,7.74911e-05
17,12695.5,1.42404,1.01037,0.01256,0.74494,0.66385,0.73218,0.42171,0.98968,0.77877,0.01192,5.22683e-05,5.22683e-05,5.22683e-05
18,13430.4,1.41947,1.02224,0.01254,0.73834,0.66508,0.73204,0.42137,0.98607,0.77752,0.01181,3.19759e-05,3.19759e-05,3.19759e-05
19,14144,1.4285,1.02088,0.01253,0.7397,0.66453,0.7325,0.42243,0.98445,0.7806,0.01176,1.71135e-05,1.71135e-05,1.71135e-05
20,14837.3,1.41118,1.00058,0.01237,0.74188,0.66595,0.73203,0.42347,0.98358,0.77758,0.01177,8.04714e-06,8.04714e-06,8.04714e-06
