epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1541.11,1.69229,3.07582,0.01482,0.50983,0.42928,0.41579,0.19614,1.15066,1.62422,0.01499,0.00333239,0.00333239,0.0700085
2,3067.19,1.72913,2.10621,0.01555,0.56563,0.44932,0.45639,0.2046,1.24388,1.51648,0.01826,0.00666409,0.00666409,0.0400069
3,4590.48,1.84211,2.18667,0.017,0.50024,0.45338,0.43228,0.18673,1.23961,1.53865,0.01738,0.00998929,0.00998929,0.00999873
4,6111.98,1.92424,2.2419,0.01809,0.52067,0.47231,0.45904,0.20006,1.25439,1.3934,0.01775,0.00997803,0.00997803,0.00997803
5,7633.73,1.90782,2.18241,0.01814,0.53041,0.45034,0.46502,0.21798,1.19081,1.3697,0.01633,0.00996097,0.00996097,0.00996097
6,9155.11,1.87075,2.06085,0.01757,0.54299,0.48766,0.48796,0.22148,1.22974,1.2831,0.01711,0.00993906,0.00993906,0.00993906
7,10678.1,1.84074,2.00263,0.01698,0.56716,0.51489,0.53138,0.26368,1.15349,1.18938,0.01551,0.00991232,0.00991232,0.00991232
8,12200.8,1.83043,1.96663,0.01672,0.56769,0.50164,0.51966,0.25019,1.14999,1.2234,0.01543,0.00988079,0.00988079,0.00988079
9,13723.1,1.82247,1.89793,0.01655,0.6048,0.56216,0.59401,0.29463,1.14225,1.07575,0.01529,0.00984449,0.00984449,0.00984449
10,15245.8,1.78866,1.86,0.01615,0.62252,0.54152,0.58371,0.28655,1.12336,1.14552,0.01477,0.00980345,0.00980345,0.00980345
11,16768.6,1.78819,1.834,0.0161,0.60874,0.54451,0.58429,0.28904,1.12631,1.09093,0.01497,0.00975773,0.00975773,0.00975773
12,18292.3,1.78173,1.80061,0.01622,0.62715,0.55869,0.60421,0.30523,1.11781,1.08181,0.01477,0.00970736,0.00970736,0.00970736
13,19818.1,1.77107,1.78541,0.01597,0.64004,0.5722,0.61235,0.3105,1.1161,1.04995,0.01515,0.00965239,0.00965239,0.00965239
14,21341.5,1.76291,1.72998,0.0158,0.61994,0.58177,0.60653,0.3131,1.10057,1.04404,0.01431,0.00959289,0.00959289,0.00959289
