epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2337.86,2.15765,2.70136,0.02655,0.34461,0.37211,0.29762,0.12327,1.14013,1.39934,0.01765,0.000499858,0.000499858,0.000528179
2,4654.29,1.8344,2.12011,0.02164,0.39156,0.48203,0.36531,0.1593,1.08465,1.35636,0.01698,0.000498644,0.000498644,0.000498644
3,7073.59,1.76873,1.90002,0.02042,0.46058,0.46344,0.41237,0.18116,1.09717,1.17331,0.01619,0.000494592,0.000494592,0.000494592
4,9502.06,1.72134,1.77058,0.01951,0.52895,0.51825,0.48969,0.23156,1.06176,1.07353,0.01563,0.000487886,0.000487886,0.000487886
5,11849.5,1.6622,1.66531,0.01839,0.53769,0.52241,0.49628,0.24027,1.07351,1.04401,0.01568,0.000478603,0.000478603,0.000478603
6,2478.02,2.2767,6.44982,0.028,0.45638,0.4395,0.38773,0.15252,1.21346,1.45835,0.01889,0.000466841,0.000466841,0.000466841
7,4857.41,1.93478,2.03208,0.02322,0.57288,0.52327,0.53475,0.23501,1.14517,1.12333,0.01735,0.000452732,0.000452732,0.000452732
8,7230.82,1.82843,1.70901,0.02159,0.5868,0.55104,0.56454,0.26428,1.11733,1.01028,0.01669,0.000436428,0.000436428,0.000436428
9,9649.21,1.76642,1.56583,0.02039,0.62497,0.55886,0.59238,0.28421,1.0852,0.9721,0.01584,0.00041811,0.00041811,0.00041811
10,11994.4,1.69782,1.45086,0.01921,0.64599,0.57992,0.60953,0.29218,1.07789,0.92285,0.016,0.000397977,0.000397977,0.000397977
11,2793.83,1.82362,5.97787,0.02358,0.433,0.4211,0.35434,0.13279,0.98056,1.26182,0.01651,0.00037625,0.00037625,0.00037625
12,5485.97,1.54164,1.67692,0.01945,0.55503,0.52421,0.52041,0.21978,0.94329,0.89417,0.01487,0.000353167,0.000353167,0.000353167
13,8179.17,1.46566,1.36226,0.01811,0.61006,0.52377,0.5601,0.25382,0.91026,0.82576,0.01458,0.000328982,0.000328982,0.000328982
14,10872.2,1.41515,1.24053,0.01692,0.62597,0.55768,0.59436,0.2903,0.86328,0.77006,0.01344,0.000303958,0.000303958,0.000303958
15,13569.2,1.35598,1.12793,0.01581,0.6371,0.57504,0.61697,0.30669,0.85494,0.72239,0.01297,0.000278371,0.000278371,0.000278371
16,16261.9,1.34968,1.09497,0.01548,0.64943,0.5809,0.62828,0.31423,0.84515,0.70988,0.01277,0.0002525,0.0002525,0.0002525
17,18968.6,1.32024,1.03881,0.01492,0.66805,0.58313,0.62952,0.32222,0.83378,0.70191,0.01253,0.000226629,0.000226629,0.000226629
18,21670,1.27805,0.9898,0.01421,0.6859,0.60565,0.66166,0.34388,0.82229,0.66338,0.012,0.000201042,0.000201042,0.000201042
19,24363.6,1.25547,0.94091,0.0138,0.68087,0.59966,0.64539,0.33371,0.82469,0.67195,0.01228,0.000176018,0.000176018,0.000176018
20,27055.4,1.23023,0.90998,0.01317,0.67415,0.60279,0.65499,0.34785,0.80833,0.65474,0.01179,0.000151833,0.000151833,0.000151833
21,29749.3,1.20887,0.87774,0.01295,0.68786,0.61665,0.66958,0.35364,0.81371,0.64738,0.01188,0.00012875,0.00012875,0.00012875
22,32442.1,1.20123,0.85886,0.01266,0.70113,0.61691,0.67388,0.35786,0.80353,0.63914,0.01158,0.000107023,0.000107023,0.000107023
23,35134.5,1.17899,0.83656,0.01238,0.70049,0.61838,0.67414,0.36319,0.79831,0.63024,0.01143,8.68902e-05,8.68902e-05,8.68902e-05
24,37830.4,1.17835,0.8357,0.01216,0.68749,0.63283,0.67796,0.3653,0.80069,0.62395,0.01151,6.85717e-05,6.85717e-05,6.85717e-05
25,40538.6,1.15989,0.81427,0.01189,0.69897,0.626,0.68183,0.36557,0.79805,0.62274,0.01144,5.22683e-05,5.22683e-05,5.22683e-05
26,43230,1.06257,0.69866,0.01103,0.6953,0.63441,0.68134,0.3678,0.80162,0.61879,0.01154,3.81587e-05,3.81587e-05,3.81587e-05
27,45922.2,1.04313,0.67641,0.01065,0.70265,0.62818,0.67993,0.36823,0.80158,0.62097,0.0115,2.63975e-05,2.63975e-05,2.63975e-05
28,48617.2,1.04513,0.67808,0.01069,0.70763,0.6263,0.68022,0.36914,0.80131,0.61643,0.01144,1.71135e-05,1.71135e-05,1.71135e-05
29,51310.4,1.03457,0.6763,0.0106,0.70637,0.62456,0.68073,0.36949,0.79993,0.61547,0.01141,1.04085e-05,1.04085e-05,1.04085e-05
30,54004.1,1.03196,0.67269,0.01037,0.70217,0.62724,0.68107,0.3693,0.8018,0.61401,0.01148,6.35583e-06,6.35583e-06,6.35583e-06
