epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,757.07,1.99024,2.97372,0.01869,0.28109,0.26825,0.19455,0.07678,1.46932,5.14901,0.01988,0.000499434,0.000499434,0.0505561
2,1522.67,1.92559,2.41692,0.01798,0.46046,0.41244,0.39065,0.17649,1.35724,2.8197,0.01669,0.000997909,0.000997909,0.00105453
3,2293.97,1.89457,2.2725,0.01754,0.52677,0.43673,0.44977,0.2053,1.35942,2.39312,0.01634,0.000993906,0.000993906,0.000993906
4,3070.51,1.8686,2.15321,0.01727,0.53087,0.46455,0.46055,0.21564,1.32275,3.94932,0.01608,0.000986323,0.000986323,0.000986323
5,3841.03,1.84527,2.06261,0.01702,0.55268,0.488,0.49602,0.23716,1.34166,2.58297,0.01623,0.000975773,0.000975773,0.000975773
6,4611.23,1.82342,1.99227,0.0167,0.59648,0.51403,0.55024,0.27189,1.30623,2.34988,0.01518,0.00096232,0.00096232,0.00096232
7,5375.67,1.81806,1.96241,0.0164,0.59179,0.53301,0.56513,0.28032,1.30098,2.71552,0.01495,0.000946048,0.000946048,0.000946048
8,6155.85,1.80838,1.92528,0.0165,0.60589,0.54211,0.57122,0.29428,1.27953,1.77735,0.01466,0.000927057,0.000927057,0.000927057
9,6927.26,1.79785,1.87128,0.01622,0.59626,0.54285,0.57659,0.29576,1.26419,2.21202,0.01418,0.000905463,0.000905463,0.000905463
10,7705.36,1.77996,1.84438,0.01579,0.63874,0.55314,0.59629,0.30784,1.2586,1.82917,0.01428,0.000881401,0.000881401,0.000881401
11,8484.04,1.75359,1.82387,0.01579,0.61545,0.56894,0.5961,0.30345,1.2634,2.00405,0.0141,0.000855018,0.000855018,0.000855018
12,9258.98,1.77605,1.78077,0.01572,0.63363,0.55179,0.58553,0.30875,1.24774,1.80651,0.01384,0.000826477,0.000826477,0.000826477
13,788.231,1.74215,1.76763,0.01531,0.65747,0.57543,0.62075,0.33056,1.22636,1.56327,0.01365,0.000795954,0.000795954,0.000795954
14,1677.86,1.72632,1.71621,0.01505,0.65424,0.56792,0.62353,0.33547,1.23662,1.40505,0.01354,0.000763637,0.000763637,0.000763637
15,2477.76,1.73538,1.71035,0.01507,0.65304,0.57938,0.63328,0.34184,1.22799,1.54724,0.01323,0.000729725,0.000729725,0.000729725
16,3251.66,1.7162,1.68211,0.01489,0.68517,0.60262,0.65802,0.35797,1.20309,1.73207,0.01298,0.000694428,0.000694428,0.000694428
17,4023.33,1.70485,1.6324,0.01481,0.68159,0.58245,0.64959,0.35554,1.19925,1.44609,0.01283,0.000657963,0.000657963,0.000657963
18,4796.74,1.68502,1.6106,0.01468,0.67338,0.60875,0.6611,0.36085,1.20913,1.40147,0.01311,0.000620555,0.000620555,0.000620555
19,5574.38,1.68768,1.60663,0.01455,0.66488,0.61177,0.65659,0.35895,1.20356,1.34705,0.01288,0.000582435,0.000582435,0.000582435
20,6367.45,1.67888,1.57512,0.0145,0.6888,0.60682,0.66976,0.37213,1.18692,1.26565,0.01274,0.000543837,0.000543837,0.000543837
21,7152.21,1.66626,1.54359,0.01424,0.71119,0.60808,0.67494,0.37331,1.17327,1.43324,0.01248,0.000505,0.000505,0.000505
22,7926.85,1.65259,1.52971,0.01395,0.68759,0.62731,0.67235,0.37516,1.17993,1.44753,0.01242,0.000466163,0.000466163,0.000466163
23,8696.74,1.63029,1.51108,0.01399,0.69475,0.61698,0.67737,0.37907,1.17688,1.41704,0.0125,0.000427565,0.000427565,0.000427565
24,9468.36,1.63617,1.48355,0.0137,0.70531,0.62231,0.68235,0.38405,1.17558,1.29339,0.01247,0.000389445,0.000389445,0.000389445
25,10232.3,1.63687,1.51165,0.01401,0.69553,0.61346,0.67382,0.38351,1.16086,1.236,0.01225,0.000352037,0.000352037,0.000352037
26,11003.2,1.61391,1.49597,0.01352,0.70673,0.63017,0.69007,0.39207,1.14852,1.30701,0.01191,0.000315572,0.000315572,0.000315572
27,11795.4,1.62293,1.47912,0.01361,0.71396,0.62311,0.69088,0.39333,1.15514,1.25043,0.01209,0.000280275,0.000280275,0.000280275
28,12571.2,1.60756,1.45913,0.01344,0.70171,0.63662,0.69099,0.3976,1.15133,1.2625,0.01196,0.000246363,0.000246363,0.000246363
29,13342.5,1.59949,1.43106,0.0132,0.7036,0.63014,0.69463,0.39976,1.13951,1.23187,0.01186,0.000214046,0.000214046,0.000214046
30,14109.4,1.59653,1.4329,0.01315,0.72336,0.61437,0.69696,0.40008,1.14161,1.1966,0.01176,0.000183523,0.000183523,0.000183523
31,14880.8,1.5804,1.41284,0.01298,0.73092,0.62643,0.70258,0.40483,1.14288,1.16886,0.01175,0.000154982,0.000154982,0.000154982
32,779.821,1.5683,1.37648,0.01283,0.72185,0.63396,0.70118,0.4028,1.04894,0.90723,0.01162,0.000128599,0.000128599,0.000128599
33,1591.97,1.5468,1.35011,0.01254,0.71651,0.64192,0.70239,0.40459,1.0458,0.90653,0.01158,0.000104537,0.000104537,0.000104537
34,2371.07,1.55,1.34949,0.01248,0.73549,0.62802,0.70194,0.40211,1.04735,0.91327,0.01155,8.29431e-05,8.29431e-05,8.29431e-05
35,3140.55,1.54761,1.33506,0.01245,0.73766,0.63252,0.70734,0.40649,1.0452,0.89897,0.01161,6.39518e-05,6.39518e-05,6.39518e-05
36,3921.65,1.51596,1.15615,0.01296,0.71537,0.64269,0.70508,0.40535,1.05355,0.91663,0.01166,4.76796e-05,4.76796e-05,4.76796e-05
37,4689.64,1.51925,1.15873,0.01296,0.7209,0.64197,0.70678,0.40606,1.05014,0.90373,0.01163,3.4227e-05,3.4227e-05,3.4227e-05
38,5457.8,1.50931,1.15302,0.01277,0.72435,0.637,0.70672,0.40754,1.04926,0.89676,0.0116,2.36769e-05,2.36769e-05,2.36769e-05
39,6225.9,1.50497,1.14253,0.01284,0.72116,0.63994,0.70713,0.4089,1.04864,0.88981,0.0116,1.60943e-05,1.60943e-05,1.60943e-05
40,6993.2,1.5025,1.13915,0.01277,0.72634,0.64183,0.70936,0.40938,1.0482,0.88623,0.01159,1.15259e-05,1.15259e-05,1.15259e-05
