epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,405.736,1.99683,2.96933,0.01878,0.4046,0.35957,0.30572,0.13701,1.35054,3.11935,0.01603,0.000499434,0.000499434,0.0505561
2,806.192,1.92676,2.39985,0.01797,0.45231,0.43449,0.40378,0.18705,1.34602,3.04005,0.01617,0.000997909,0.000997909,0.00105453
3,1205.19,1.88991,2.25576,0.01755,0.47159,0.45256,0.41956,0.19997,1.32144,3.08786,0.01605,0.000993906,0.000993906,0.000993906
4,1604.42,1.86625,2.14555,0.01709,0.53225,0.49022,0.48188,0.22313,1.31592,2.95893,0.01545,0.000986323,0.000986323,0.000986323
5,2003.38,1.84988,2.06422,0.01706,0.56725,0.49343,0.51818,0.25421,1.31967,1.76306,0.01586,0.000975773,0.000975773,0.000975773
6,2402.32,1.82446,1.99781,0.01674,0.58353,0.49262,0.53111,0.26571,1.31207,2.28843,0.01496,0.00096232,0.00096232,0.00096232
7,2801.45,1.823,1.97197,0.01646,0.61115,0.50316,0.54055,0.27288,1.29712,1.732,0.01494,0.000946048,0.000946048,0.000946048
8,3200.86,1.80649,1.9311,0.0163,0.61776,0.52367,0.56173,0.29551,1.25402,1.67309,0.01422,0.000927057,0.000927057,0.000927057
9,3599.98,1.79303,1.8798,0.01607,0.61955,0.55003,0.58796,0.30214,1.27304,2.27655,0.01446,0.000905463,0.000905463,0.000905463
10,3999.1,1.78645,1.84219,0.01591,0.61059,0.56201,0.59389,0.31245,1.24479,1.51241,0.01388,0.000881401,0.000881401,0.000881401
11,4398.35,1.75947,1.8163,0.01581,0.61655,0.56638,0.59209,0.30825,1.27012,2.23273,0.01413,0.000855018,0.000855018,0.000855018
12,4797.64,1.76296,1.77492,0.01553,0.63152,0.55143,0.58802,0.30947,1.24463,1.99064,0.01369,0.000826477,0.000826477,0.000826477
13,5197.07,1.75244,1.76278,0.01571,0.64091,0.55937,0.60796,0.32475,1.2259,1.60988,0.01348,0.000795954,0.000795954,0.000795954
14,5596.06,1.73144,1.73981,0.01526,0.67042,0.57487,0.63335,0.33675,1.21486,1.69338,0.01316,0.000763637,0.000763637,0.000763637
15,5994.98,1.73556,1.72443,0.01517,0.666,0.57263,0.62915,0.33683,1.21325,1.74143,0.01304,0.000729725,0.000729725,0.000729725
16,6393.88,1.72385,1.70454,0.01509,0.65936,0.59058,0.63752,0.35098,1.19595,1.49804,0.01272,0.000694428,0.000694428,0.000694428
17,6792.58,1.71297,1.65385,0.01481,0.66673,0.58532,0.63711,0.34982,1.19743,1.44696,0.01292,0.000657963,0.000657963,0.000657963
18,7191.75,1.70531,1.64469,0.01474,0.68292,0.59227,0.6553,0.35956,1.19253,1.41355,0.01271,0.000620555,0.000620555,0.000620555
19,7590.87,1.68977,1.61307,0.01458,0.66914,0.59759,0.656,0.36035,1.18242,1.5292,0.01273,0.000582435,0.000582435,0.000582435
20,7989.85,1.69552,1.60026,0.0145,0.68645,0.59748,0.66026,0.37119,1.17856,1.52032,0.01247,0.000543837,0.000543837,0.000543837
21,8388.66,1.66676,1.57155,0.01418,0.672,0.62121,0.67008,0.37709,1.17348,1.2847,0.01238,0.000505,0.000505,0.000505
22,8787.97,1.67407,1.56492,0.01417,0.69338,0.60945,0.6734,0.37813,1.16711,1.33014,0.01231,0.000466163,0.000466163,0.000466163
23,9186.93,1.65009,1.51993,0.01389,0.69462,0.61676,0.67637,0.38109,1.16085,1.28766,0.01222,0.000427565,0.000427565,0.000427565
24,9586.33,1.65175,1.5199,0.01367,0.70295,0.61849,0.67968,0.38704,1.15999,1.27451,0.01221,0.000389445,0.000389445,0.000389445
25,9985.3,1.6343,1.503,0.01376,0.6938,0.62554,0.68638,0.39336,1.15654,1.19055,0.0121,0.000352037,0.000352037,0.000352037
26,10384.3,1.62648,1.47847,0.01357,0.69113,0.63155,0.69226,0.39325,1.14681,1.2975,0.01202,0.000315572,0.000315572,0.000315572
27,10783.2,1.62109,1.46837,0.01352,0.70382,0.62941,0.69319,0.39479,1.15857,1.20059,0.01204,0.000280275,0.000280275,0.000280275
28,11182.3,1.61023,1.44732,0.0134,0.7248,0.63009,0.69876,0.40019,1.15183,1.17115,0.01195,0.000246363,0.000246363,0.000246363
29,11581.2,1.59788,1.42812,0.01331,0.72584,0.62587,0.69991,0.39901,1.14751,1.20326,0.01199,0.000214046,0.000214046,0.000214046
30,11980.1,1.60541,1.41218,0.01314,0.71647,0.64007,0.70134,0.40124,1.1417,1.21338,0.01176,0.000183523,0.000183523,0.000183523
31,12379.3,1.58154,1.40458,0.01293,0.71879,0.63748,0.7017,0.40251,1.14414,1.15556,0.01189,0.000154982,0.000154982,0.000154982
32,12778.3,1.58529,1.38882,0.0129,0.72152,0.64137,0.70724,0.40667,1.14009,1.15598,0.01177,0.000128599,0.000128599,0.000128599
33,13177.4,1.57253,1.37914,0.01276,0.71362,0.64065,0.70444,0.40643,1.1399,1.15924,0.01171,0.000104537,0.000104537,0.000104537
34,13576.5,1.56511,1.37576,0.01282,0.71855,0.64915,0.70606,0.40758,1.13712,1.14464,0.01169,8.29431e-05,8.29431e-05,8.29431e-05
35,13975.7,1.56359,1.36558,0.01263,0.71326,0.65363,0.70574,0.40711,1.13705,1.12949,0.01165,6.39518e-05,6.39518e-05,6.39518e-05
36,14383.5,1.51761,1.17188,0.01298,0.71806,0.64276,0.70391,0.40527,1.1488,1.1454,0.0118,4.76796e-05,4.76796e-05,4.76796e-05
37,14780.1,1.51446,1.13906,0.01294,0.71596,0.64741,0.70607,0.4054,1.14571,1.11293,0.01173,3.4227e-05,3.4227e-05,3.4227e-05
38,15176.4,1.50019,1.13734,0.01272,0.72021,0.64682,0.70693,0.40754,1.14346,1.11569,0.0117,2.36769e-05,2.36769e-05,2.36769e-05
39,15573.1,1.51068,1.13665,0.01269,0.72188,0.64311,0.70677,0.40783,1.14641,1.11011,0.01173,1.60943e-05,1.60943e-05,1.60943e-05
40,15969.5,1.50204,1.13779,0.01268,0.72219,0.64872,0.70738,0.40829,1.14257,1.11307,0.01165,1.15259e-05,1.15259e-05,1.15259e-05
