epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.266,1.93534,2.93675,1.48283,0.26989,0.30216,0.18474,0.07224,1.49045,5.44789,1.16813,0.000499434,0.000499434,0.0505561
2,940.198,1.95831,2.58487,1.47157,0.38418,0.36273,0.30644,0.11655,1.48763,4.17517,1.09101,0.000997909,0.000997909,0.00105453
3,1393.39,1.94349,2.45571,1.44366,0.43174,0.36653,0.3394,0.14434,1.4212,3.02913,1.04109,0.000993906,0.000993906,0.000993906
4,1856.63,1.90875,2.35114,1.42476,0.46628,0.41795,0.39568,0.17064,1.36419,5.89511,1.02548,0.000986323,0.000986323,0.000986323
5,2322.64,1.88815,2.26686,1.41342,0.48977,0.44526,0.43763,0.20095,1.3395,2.92322,0.98918,0.000975773,0.000975773,0.000975773
6,2780.94,1.83127,2.19212,1.38393,0.47863,0.44943,0.44207,0.22146,1.30467,3.45573,0.97534,0.00096232,0.00096232,0.00096232
7,3237.94,1.83222,2.15746,1.38195,0.51216,0.44673,0.43607,0.20735,1.33591,3.98985,0.99262,0.000946048,0.000946048,0.000946048
8,3693.3,1.82025,2.12423,1.3758,0.55149,0.46419,0.48501,0.2355,1.28757,2.22014,0.974,0.000927057,0.000927057,0.000927057
9,4152.98,1.8011,2.05072,1.35989,0.53746,0.44238,0.45904,0.22092,1.32547,2.17812,0.99092,0.000905463,0.000905463,0.000905463
10,4592.05,1.80197,2.00939,1.35392,0.58356,0.48584,0.52261,0.26238,1.27709,1.92493,0.96211,0.000881401,0.000881401,0.000881401
11,5036.2,1.77561,1.98865,1.348,0.5959,0.5214,0.55401,0.27991,1.26977,2.91156,0.95458,0.000855018,0.000855018,0.000855018
12,5464.07,1.77625,1.93947,1.34864,0.59083,0.51234,0.53358,0.27146,1.25286,2.16873,0.95112,0.000826477,0.000826477,0.000826477
13,5890.6,1.75216,1.92769,1.33905,0.62623,0.51668,0.56635,0.29065,1.25255,1.71326,0.94278,0.000795954,0.000795954,0.000795954
14,6316.75,1.73933,1.89653,1.32408,0.63266,0.52431,0.58006,0.29755,1.24165,1.90997,0.93937,0.000763637,0.000763637,0.000763637
15,6746.32,1.74375,1.87557,1.32588,0.60925,0.53661,0.579,0.30809,1.21346,1.93451,0.92698,0.000729725,0.000729725,0.000729725
16,7210.13,1.71402,1.84722,1.31514,0.62897,0.53454,0.58286,0.31227,1.20267,1.70274,0.92015,0.000694428,0.000694428,0.000694428
17,7661.6,1.71196,1.79998,1.31351,0.64106,0.55209,0.60369,0.32423,1.21205,1.70054,0.92261,0.000657963,0.000657963,0.000657963
18,8114.56,1.70611,1.80616,1.30373,0.62987,0.56811,0.60793,0.32563,1.21814,1.61653,0.9172,0.000620555,0.000620555,0.000620555
19,8551.75,1.6887,1.76445,1.29247,0.65378,0.55833,0.61588,0.33448,1.18871,1.68293,0.908,0.000582435,0.000582435,0.000582435
20,8990.68,1.69129,1.75384,1.29062,0.66994,0.56372,0.63515,0.34543,1.17822,1.4748,0.90183,0.000543837,0.000543837,0.000543837
