                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8098,                 2.3467,                 1.6927,                0.27119,                0.37141,                0.20252,                0.08676,                 1.4019,                 60.928,                 1.3073,               0.080222,             0.00019977,             0.00019977
                      2,                 1.7691,                 2.0066,                 1.6557,                0.46068,                 0.4341,                0.40926,                0.18982,                 1.3773,                 9.1282,                 1.2468,               0.060418,             0.00039582,             0.00039582
                      3,                 1.7622,                 1.9549,                 1.6451,                0.52409,                0.45808,                0.45964,                  0.217,                 1.3067,                 4.3834,                 1.1595,               0.040611,              0.0005879,              0.0005879
                      4,                 1.7507,                  1.904,                 1.6301,                0.58925,                0.46755,                0.50621,                 0.2451,                 1.2636,                 2.5698,                 1.1561,               0.020799,             0.00077602,             0.00077602
                      5,                 1.7244,                 1.8584,                 1.6109,                0.55487,                0.49204,                0.50616,                0.25282,                 1.2423,                 7.3152,                 1.1485,             0.00098283,             0.00096018,             0.00096018
                      6,                 1.7121,                 1.8318,                 1.5975,                0.62286,                0.51607,                0.56072,                 0.2798,                 1.2315,                 7.6461,                 1.1151,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.6815,                 1.7639,                  1.578,                0.59465,                0.52165,                0.55253,                0.27204,                 1.2519,                 3.5676,                 1.1554,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6613,                 1.7174,                 1.5636,                0.60942,                  0.548,                0.58198,                0.29708,                 1.1971,                 4.4781,                 1.0942,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6333,                 1.6849,                 1.5406,                0.63391,                0.52282,                0.57276,                0.28651,                 1.2328,                 3.0853,                 1.1257,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6246,                 1.6503,                 1.5277,                0.61475,                0.55646,                0.59196,                0.30979,                 1.1859,                 3.5919,                 1.0816,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.6218,                 1.6345,                 1.5192,                0.66184,                0.56515,                0.62891,                0.33326,                 1.1559,                 3.5488,                 1.0632,               0.000901,               0.000901,               0.000901
                     12,                 1.6099,                 1.6071,                 1.5184,                0.65871,                0.57095,                 0.6345,                 0.3344,                  1.154,                  2.904,                  1.064,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.5917,                 1.5692,                  1.509,                0.65295,                0.58521,                0.63817,                 0.3436,                 1.1418,                  5.598,                  1.055,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.5771,                 1.5525,                 1.4955,                0.67293,                0.59111,                0.65746,                0.35661,                 1.1435,                 2.6158,                 1.0444,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.5727,                 1.5284,                 1.4876,                0.68342,                0.60088,                0.66113,                0.35766,                 1.1325,                 3.0239,                 1.0382,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.5655,                 1.5266,                 1.4821,                 0.6842,                 0.5992,                0.66829,                0.36403,                  1.133,                 2.6627,                 1.0462,              0.0008515,              0.0008515,              0.0008515
                     17,                  1.565,                 1.4925,                  1.482,                0.70674,                0.59342,                0.66825,                0.36636,                  1.125,                 4.2054,                 1.0338,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.5491,                 1.5094,                 1.4724,                0.66883,                0.59912,                0.65054,                0.34612,                 1.1348,                 6.5003,                 1.0567,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.5369,                 1.4804,                 1.4649,                0.68042,                0.61044,                0.67791,                0.37255,                 1.1105,                  2.374,                 1.0322,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.5312,                  1.466,                 1.4608,                0.70248,                0.62008,                0.69158,                0.38296,                 1.1084,                 2.2399,                 1.0236,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.5204,                  1.446,                 1.4556,                 0.7172,                0.61681,                0.69667,                0.38637,                 1.0943,                 2.6696,                 1.0158,               0.000802,               0.000802,               0.000802
                     22,                 1.5233,                 1.4275,                  1.447,                0.70155,                0.62951,                0.69509,                0.38936,                 1.0989,                 2.5014,                 1.0112,              0.0007921,              0.0007921,              0.0007921
                     23,                  1.522,                 1.4243,                 1.4505,                0.70638,                0.63511,                0.69808,                0.38771,                 1.0979,                 2.5892,                  1.015,              0.0007822,              0.0007822,              0.0007822
                     24,                  1.514,                 1.4097,                 1.4441,                0.71277,                0.64697,                0.70897,                0.39792,                 1.0886,                 2.5989,                 1.0119,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.5072,                 1.3988,                 1.4423,                0.69546,                  0.651,                0.70672,                0.39675,                 1.0919,                  3.119,                 1.0154,              0.0007624,              0.0007624,              0.0007624
                     26,                  1.499,                 1.3922,                 1.4333,                0.71071,                0.64223,                0.70623,                0.40217,                 1.0786,                 2.0311,                 1.0009,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.4946,                 1.3771,                 1.4335,                0.72253,                0.63991,                0.71527,                0.40466,                 1.0739,                 2.5393,                 1.0027,              0.0007426,              0.0007426,              0.0007426
                     28,                  1.491,                 1.3816,                 1.4324,                0.71987,                0.64343,                0.71477,                0.40402,                 1.0745,                 2.4316,                0.99854,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.4842,                 1.3699,                 1.4231,                0.72391,                0.64669,                0.71887,                0.41088,                 1.0687,                 2.0758,                 0.9987,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.4781,                 1.3426,                  1.416,                0.72001,                0.64728,                0.72142,                0.41496,                 1.0644,                 2.2357,                0.99158,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.4884,                 1.3496,                 1.4241,                 0.7302,                0.64581,                0.72419,                0.41231,                  1.063,                 1.8841,                0.99798,               0.000703,               0.000703,               0.000703
                     32,                  1.463,                 1.3305,                 1.4081,                0.72921,                0.65504,                0.72542,                0.41659,                 1.0641,                 2.1554,                0.99569,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.4675,                 1.3157,                 1.4047,                0.73136,                0.65659,                0.73279,                0.41963,                 1.0653,                  2.017,                0.99477,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.4624,                 1.3082,                   1.41,                0.73596,                0.66481,                0.73449,                0.42032,                 1.0613,                 1.8549,                0.99692,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.4458,                 1.3103,                 1.4007,                0.74666,                0.65989,                0.73639,                0.42162,                 1.0647,                  1.782,                0.99276,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.4505,                 1.3003,                  1.398,                0.74583,                0.65891,                0.74013,                0.42617,                  1.059,                 2.0529,                0.99055,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.4453,                 1.2804,                 1.3878,                0.73231,                0.66522,                0.73642,                0.42552,                 1.0558,                 1.9567,                0.98658,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.4398,                 1.2712,                 1.3887,                0.74364,                0.66455,                0.74179,                0.42715,                 1.0538,                 1.8335,                0.98113,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.4455,                 1.2783,                 1.3846,                0.74662,                0.66606,                0.74338,                 0.4312,                 1.0483,                 1.9077,                0.97872,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.4374,                 1.2709,                 1.3826,                0.76368,                0.65509,                0.74511,                0.43307,                  1.047,                 1.9696,                0.97826,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.4243,                 1.2405,                 1.3807,                0.75598,                0.66362,                0.74719,                0.43236,                  1.053,                 1.7869,                0.98019,               0.000604,               0.000604,               0.000604
                     42,                 1.4279,                 1.2473,                 1.3777,                 0.7523,                0.66882,                0.74711,                 0.4325,                 1.0471,                  1.712,                0.97669,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.4183,                 1.2364,                 1.3725,                0.75181,                0.66947,                0.74794,                0.43272,                 1.0498,                 1.6457,                0.97779,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.4196,                 1.2302,                 1.3714,                0.74855,                 0.6708,                0.74856,                0.43502,                 1.0489,                 1.5769,                0.97894,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.4203,                 1.2364,                  1.372,                0.74418,                0.68588,                0.75047,                0.43591,                 1.0475,                 1.7101,                0.97989,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.4105,                 1.2111,                 1.3648,                0.75434,                0.67388,                0.75315,                0.43785,                 1.0487,                 1.7236,                0.98012,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.4042,                 1.1994,                 1.3621,                0.75561,                0.67579,                0.75438,                0.43938,                 1.0427,                 1.6575,                0.97555,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.4116,                 1.2019,                 1.3627,                0.75054,                0.68139,                0.75338,                 0.4403,                 1.0431,                 1.7006,                0.97374,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.4061,                 1.2045,                 1.3634,                0.75734,                0.67238,                0.75466,                0.44051,                 1.0447,                 1.7848,                0.97382,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.3812,                 1.1738,                 1.3456,                0.75832,                0.67579,                 0.7524,                0.44037,                  1.045,                 1.8314,                0.97267,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3928,                 1.1856,                 1.3528,                0.76225,                0.67465,                0.75541,                0.44237,                 1.0409,                 1.7975,                0.97079,               0.000505,               0.000505,               0.000505
                     52,                 1.3934,                 1.1845,                 1.3427,                0.75725,                0.68233,                0.75753,                0.44402,                 1.0393,                 1.7732,                0.96941,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.3783,                 1.1677,                 1.3435,                0.76299,                0.68243,                0.75897,                0.44555,                 1.0394,                 1.7543,                 0.9689,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.3811,                 1.1674,                 1.3384,                 0.7688,                0.68244,                0.75964,                 0.4471,                 1.0377,                 1.6955,                0.96808,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.3818,                  1.164,                  1.344,                0.76633,                0.68653,                0.76215,                0.44904,                 1.0329,                 1.6399,                0.96535,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.3748,                 1.1585,                 1.3422,                0.77218,                0.67929,                0.76212,                 0.4495,                 1.0308,                 1.5805,                0.96354,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.3602,                 1.1406,                 1.3291,                0.77322,                0.67905,                0.76224,                0.44972,                 1.0297,                 1.5254,                0.96372,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.3675,                 1.1361,                 1.3355,                0.77898,                0.67888,                0.76381,                0.45056,                   1.03,                 1.5176,                 0.9635,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.3622,                 1.1318,                 1.3292,                0.77278,                0.68488,                 0.7658,                 0.4528,                 1.0292,                 1.5096,                0.96373,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.3546,                 1.1225,                 1.3253,                0.77108,                0.68175,                0.76634,                0.45316,                 1.0285,                 1.5331,                0.96295,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.3518,                 1.1182,                 1.3217,                0.76994,                  0.685,                0.76764,                0.45267,                 1.0273,                 1.5312,                0.96246,               0.000406,               0.000406,               0.000406
                     62,                 1.3545,                 1.1217,                 1.3263,                0.77014,                0.68385,                0.76818,                0.45212,                 1.0271,                 1.5405,                0.96242,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.3427,                 1.1076,                 1.3197,                0.76607,                0.68632,                0.76814,                0.45262,                 1.0273,                 1.5334,                0.96294,              0.0003862,              0.0003862,              0.0003862
                     64,                 1.3434,                 1.1042,                 1.3173,                0.76613,                0.68399,                0.76748,                0.45257,                 1.0272,                 1.5137,                0.96318,              0.0003763,              0.0003763,              0.0003763
                     65,                 1.3372,                 1.1024,                 1.3136,                0.77134,                 0.6837,                0.76746,                0.45276,                 1.0289,                 1.5127,                0.96447,              0.0003664,              0.0003664,              0.0003664
                     66,                 1.3322,                 1.0962,                 1.3096,                0.77467,                0.68118,                0.76769,                0.45307,                 1.0288,                 1.5119,                0.96447,              0.0003565,              0.0003565,              0.0003565
                     67,                 1.3298,                 1.0899,                 1.3088,                 0.7734,                 0.6841,                0.76738,                0.45371,                 1.0286,                 1.5052,                0.96471,              0.0003466,              0.0003466,              0.0003466
                     68,                 1.3286,                 1.0774,                 1.3086,                0.77217,                0.68621,                0.76915,                 0.4542,                 1.0286,                 1.4855,                0.96503,              0.0003367,              0.0003367,              0.0003367
                     69,                 1.3268,                 1.0876,                 1.3052,                0.77116,                0.68764,                0.76835,                 0.4549,                 1.0282,                 1.4769,                0.96486,              0.0003268,              0.0003268,              0.0003268
                     70,                 1.3273,                 1.0733,                 1.3053,                0.77206,                0.69005,                0.76957,                0.45568,                 1.0289,                 1.4669,                0.96566,              0.0003169,              0.0003169,              0.0003169
                     71,                 1.3202,                 1.0635,                 1.2967,                 0.7733,                0.68919,                 0.7708,                0.45565,                 1.0293,                 1.4633,                0.96614,               0.000307,               0.000307,               0.000307
                     72,                 1.3198,                 1.0738,                 1.3034,                 0.7723,                0.68942,                0.77091,                0.45583,                 1.0305,                 1.4659,                0.96698,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.3146,                  1.064,                 1.2983,                0.76655,                0.68953,                0.77033,                0.45584,                 1.0304,                 1.4637,                0.96684,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.3119,                 1.0495,                 1.2918,                0.77177,                0.68707,                0.77077,                0.45653,                 1.0304,                 1.4615,                 0.9668,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.3045,                 1.0429,                 1.2943,                0.76981,                0.68861,                0.77087,                0.45674,                 1.0302,                 1.4551,                0.96659,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.3017,                 1.0409,                 1.2873,                0.76683,                0.69309,                0.77118,                0.45695,                 1.0298,                 1.4436,                0.96647,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.2941,                 1.0302,                 1.2806,                0.76936,                0.69192,                0.77141,                0.45654,                 1.0294,                 1.4328,                0.96652,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.2981,                 1.0324,                 1.2875,                0.76664,                0.69294,                0.77175,                0.45642,                  1.029,                 1.4244,                0.96663,              0.0002377,              0.0002377,              0.0002377
                     79,                  1.285,                   1.03,                 1.2779,                0.76613,                0.69377,                0.77236,                0.45594,                 1.0292,                 1.4166,                0.96653,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.2856,                 1.0107,                 1.2752,                0.76503,                0.69525,                0.77276,                0.45602,                 1.0294,                 1.4051,                0.96693,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.2832,                 1.0177,                 1.2751,                0.76719,                0.69435,                0.77244,                 0.4558,                 1.0295,                 1.4032,                0.96708,               0.000208,               0.000208,               0.000208
                     82,                 1.2774,                  1.002,                 1.2721,                0.76409,                0.69615,                0.77223,                0.45546,                 1.0298,                 1.3952,                0.96716,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.2823,                 1.0098,                 1.2724,                 0.7634,                0.69526,                0.77249,                 0.4557,                   1.03,                 1.3866,                0.96724,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.2717,                 1.0052,                 1.2653,                0.76269,                0.69378,                 0.7723,                 0.4559,                 1.0301,                 1.3742,                0.96717,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.2717,                 1.0029,                 1.2656,                0.76331,                 0.6945,                0.77239,                  0.456,                 1.0302,                 1.3669,                0.96737,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.2805,                 0.9952,                 1.2709,                0.76431,                 0.6935,                0.77189,                0.45602,                 1.0305,                 1.3603,                0.96758,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.2758,                0.99496,                 1.2707,                0.76604,                0.69309,                0.77228,                0.45614,                 1.0308,                 1.3526,                0.96788,              0.0001486,              0.0001486,              0.0001486
                     88,                  1.268,                0.98562,                 1.2609,                0.76388,                0.69439,                0.77219,                0.45671,                  1.031,                 1.3483,                0.96826,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.2584,                0.97242,                 1.2577,                0.76197,                 0.6964,                0.77247,                 0.4566,                 1.0314,                  1.344,                0.96869,              0.0001288,              0.0001288,              0.0001288
                     90,                 1.2479,                0.97726,                 1.2523,                0.76501,                0.69532,                 0.7723,                0.45682,                 1.0318,                 1.3401,                0.96903,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.2039,                0.82116,                 1.2106,                0.76435,                0.69555,                0.77202,                0.45668,                  1.032,                 1.3302,                0.96937,               0.000109,               0.000109,               0.000109
                     92,                 1.1948,                 0.8207,                 1.2098,                0.76212,                0.69716,                0.77243,                0.45682,                 1.0322,                 1.3222,                 0.9698,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.1939,                0.80691,                 1.2086,                0.76427,                0.69581,                 0.7727,                0.45703,                 1.0325,                 1.3136,                0.97002,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.1874,                0.80181,                 1.2008,                0.76791,                0.69498,                0.77282,                0.45732,                 1.0328,                 1.3065,                0.97025,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 1.1787,                0.79315,                 1.2003,                0.76936,                0.69566,                 0.7733,                0.45688,                 1.0329,                 1.2987,                0.97047,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.1762,                0.79245,                 1.1999,                0.77746,                0.69016,                0.77302,                0.45725,                 1.0333,                  1.291,                0.97062,               5.95e-05,               5.95e-05,               5.95e-05
