selection_rank,sample_id,source,disaster_gt,disaster_pred,victim_gt,victim_pred,disaster_prob_0,disaster_prob_1,disaster_prob_2,disaster_prob_3,victim_prob_0,victim_prob_1,reliability_rgb,reliability_pseudo_thermal,reliability_audio,error_count,error_confidence,selection_rule
1,esc50_001965,esc50,0,1,0,1,0.000356581702362746,0.9985539317131042,0.0006456860573962331,0.0004437731404323131,0.47755417227745056,0.5224458575248718,0.0,0.0,1.0,2,0.9985539317131042,"error_count desc, error_confidence desc, sample_id asc"
2,esc50_001653,esc50,0,1,0,1,0.0009980975883081555,0.9965962767601013,0.001407543197274208,0.0009980975883081555,0.4573790729045868,0.5426208972930908,0.0,0.0,1.0,2,0.9965962767601013,"error_count desc, error_confidence desc, sample_id asc"
3,esc50_001652,esc50,0,1,0,1,0.0013187163276597857,0.9939221143722534,0.0027484409511089325,0.002010802272707224,0.48273390531539917,0.5172660946846008,0.0,0.0,1.0,2,0.9939221143722534,"error_count desc, error_confidence desc, sample_id asc"
4,aider_003667,aider,0,2,0,1,0.003213218180462718,0.0011820769868791103,0.9939113855361938,0.0016932472353801131,0.4261574149131775,0.5738425850868225,1.0,0.0,0.0,2,0.9939113855361938,"error_count desc, error_confidence desc, sample_id asc"
5,aider_000121,aider,2,0,0,1,0.9534301161766052,0.008248786441981792,0.02139572612941265,0.01692541129887104,0.0061391303315758705,0.9938608407974243,1.0,0.0,0.0,2,0.9938608407974243,"error_count desc, error_confidence desc, sample_id asc"
6,aider_000316,aider,2,0,0,1,0.9015303254127502,0.0041749137453734875,0.08517591655254364,0.009118850342929363,0.006718870252370834,0.9932811260223389,1.0,0.0,0.0,2,0.9932811260223389,"error_count desc, error_confidence desc, sample_id asc"
7,aider_004791,aider,0,1,0,1,0.001827406114898622,0.9920490384101868,0.003157474799081683,0.002966172993183136,0.14919018745422363,0.8508098125457764,1.0,0.0,1.0,2,0.9920490384101868,"error_count desc, error_confidence desc, sample_id asc"
8,aider_000115,aider,2,0,0,1,0.9525836706161499,0.009786981157958508,0.02071903645992279,0.016910385340452194,0.008176022209227085,0.9918239712715149,1.0,0.0,0.0,2,0.9918239712715149,"error_count desc, error_confidence desc, sample_id asc"
9,aider_003767,aider,0,1,0,1,0.004379266873002052,0.991041362285614,0.0025744379963725805,0.002004974288865924,0.4951173663139343,0.5048826336860657,1.0,0.0,1.0,2,0.991041362285614,"error_count desc, error_confidence desc, sample_id asc"
10,aider_004114,aider,0,1,0,1,0.0028273356147110462,0.9909953474998474,0.003305490128695965,0.0028718598186969757,0.45550134778022766,0.54449862241745,1.0,0.0,1.0,2,0.9909953474998474,"error_count desc, error_confidence desc, sample_id asc"
11,sard_003392,sard,0,1,1,0,0.00380185735411942,0.9902819395065308,0.0034616305492818356,0.0024546636268496513,0.563237190246582,0.4367627799510956,1.0,0.0,1.0,2,0.9902819395065308,"error_count desc, error_confidence desc, sample_id asc"
12,aider_001118,aider,2,0,0,1,0.9460989236831665,0.0059885368682444096,0.03137769177556038,0.01653488166630268,0.010011150501668453,0.9899888038635254,1.0,0.0,0.0,2,0.9899888038635254,"error_count desc, error_confidence desc, sample_id asc"
