epoch,lr,time_s,train_loss,train_disaster_loss,train_victim_loss,train_kd_logit_loss,train_kd_feat_loss,train_disaster_acc,train_victim_acc,val_loss,val_disaster_f1,val_victim_f1,val_disaster_acc,val_victim_acc,val_combined_f1,val_map50
1,0.00055,443.63556957244873,0.003937680302937875,0.003121779882319497,0.0011350665753843345,0.0,0.0,0.9883447662601627,0.9987614329268293,-0.001184599876935993,0.9975336873085063,1.0,0.9977142857142857,1.0,0.9987668436542532,0.0
2,0.001,380.90758228302,0.006622591012333069,0.004863070915116549,0.00045842471872600707,0.0,0.0,0.9815485264227642,0.9997459349593496,-0.0006939157431442586,0.9973980183620866,1.0,0.9975873015873016,1.0,0.9986990091810433,0.0
3,0.000962320368593087,383.6159553527832,0.00747351770813821,0.0053047661534562605,0.00039461630873800427,0.0,0.0,0.9797065548780488,1.0,0.0014449317172938396,0.9920600379685769,1.0,0.9926349206349206,1.0,0.9960300189842884,0.0
4,0.000855017856687341,391.8947637081146,0.005052803544414218,0.004097507041175656,0.00038223898858321753,0.0,0.0,0.9844385162601627,1.0,-0.0017752099914683237,0.9984935895780501,1.0,0.9986031746031746,1.0,0.9992467947890251,0.0
5,0.0006944282990207195,387.4692323207855,0.0025867457168315903,0.002866752183556271,0.00037314552475170164,0.0,0.0,0.9894245426829268,1.0,-0.001591270318757447,0.9975362367003711,1.0,0.9977142857142857,1.0,0.9987681183501855,0.0
6,0.000505,396.35334634780884,0.0013989119106554426,0.0022740770599909404,0.00036818149715330266,0.0,0.0,0.9925368394308943,1.0,-0.002003451310275566,0.9991777737684461,1.0,0.9992380952380953,1.0,0.9995888868842231,0.0
7,0.0003155717009792806,421.43153262138367,0.0005202735197466299,0.001835903494127972,0.0003635983485594814,0.0,0.0,0.993457825203252,1.0,-0.00178037417694808,0.9980828919608677,1.0,0.9982222222222222,1.0,0.9990414459804339,0.0
8,0.00015498214331265898,392.47824931144714,-0.00031833891031366385,0.00141738436366545,0.00036045124283916037,0.0,0.0,0.9960302337398373,1.0,-0.001972595729554693,0.999177651616676,1.0,0.9992380952380953,1.0,0.9995888258083381,0.0
9,4.7679631406913064e-05,378.4421741962433,-0.001148791011880489,0.0010025607598362239,0.00035884154549865166,0.0,0.0,0.9978404471544715,1.0,-0.0020887585844962843,0.999588917393903,1.0,0.9996190476190476,1.0,0.9997944586969515,0.0
10,1e-05,376.90483117103577,-0.0010215430932779175,0.0010663451420685572,0.0003581997647327115,0.0,0.0,0.9975863821138211,1.0,-0.0020962046495978793,0.9993147605928397,1.0,0.9993650793650793,1.0,0.9996573802964199,0.0
