selection_rank,sample_id,source,disaster_gt,disaster_pred,victim_gt,victim_pred,disaster_prob_0,disaster_prob_1,victim_prob_0,victim_prob_1,reliability_rgb,reliability_pseudo_thermal,reliability_audio,error_count,error_confidence,selection_rule
1,flame_044091,flame,1,0,0,0,0.9781979322433472,0.021801987662911415,0.9750121831893921,0.02498779445886612,1.0,1.0,0.0,1,0.9781979322433472,"error_count desc, error_confidence desc, sample_id asc"
2,flame_047642,flame,0,1,0,0,0.44460999965667725,0.5553900003433228,0.9779467582702637,0.022053318098187447,1.0,1.0,0.0,1,0.9779467582702637,"error_count desc, error_confidence desc, sample_id asc"
3,flame_047589,flame,0,1,0,0,0.44709816575050354,0.5529018640518188,0.9779256582260132,0.022074388340115547,1.0,1.0,0.0,1,0.9779256582260132,"error_count desc, error_confidence desc, sample_id asc"
4,flame_047649,flame,0,1,0,0,0.4566974639892578,0.5433024764060974,0.9778834581375122,0.022116590291261673,1.0,1.0,0.0,1,0.9778834581375122,"error_count desc, error_confidence desc, sample_id asc"
5,flame_047594,flame,0,1,0,0,0.44889429211616516,0.5511056780815125,0.9778622388839722,0.0221377182751894,1.0,1.0,0.0,1,0.9778622388839722,"error_count desc, error_confidence desc, sample_id asc"
6,flame_047639,flame,0,1,0,0,0.4485923647880554,0.5514076948165894,0.9778622388839722,0.0221377182751894,1.0,1.0,0.0,1,0.9778622388839722,"error_count desc, error_confidence desc, sample_id asc"
7,flame_046234,flame,0,1,0,0,0.4313296675682068,0.5686703324317932,0.9778411984443665,0.022158870473504066,1.0,1.0,0.0,1,0.9778411984443665,"error_count desc, error_confidence desc, sample_id asc"
8,flame_046371,flame,0,1,0,0,0.4515834450721741,0.5484165549278259,0.9778411984443665,0.022158870473504066,1.0,1.0,0.0,1,0.9778411984443665,"error_count desc, error_confidence desc, sample_id asc"
9,flame_047423,flame,0,1,0,0,0.4399127662181854,0.560087263584137,0.9778411984443665,0.022158870473504066,1.0,1.0,0.0,1,0.9778411984443665,"error_count desc, error_confidence desc, sample_id asc"
10,flame_047641,flame,0,1,0,0,0.4272473454475403,0.5727526545524597,0.9778411984443665,0.022158870473504066,1.0,1.0,0.0,1,0.9778411984443665,"error_count desc, error_confidence desc, sample_id asc"
11,flame_045693,flame,0,1,0,0,0.45438137650489807,0.5456185936927795,0.9778199791908264,0.022180039435625076,1.0,1.0,0.0,1,0.9778199791908264,"error_count desc, error_confidence desc, sample_id asc"
12,flame_046246,flame,0,1,0,0,0.44226011633872986,0.5577399134635925,0.9778199791908264,0.022180039435625076,1.0,1.0,0.0,1,0.9778199791908264,"error_count desc, error_confidence desc, sample_id asc"
